,cpu,batch,njobs,network
0,1,64,1,lenet5
1,8,64,1,lenet5
2,1,512,1,lenet5
3,8,512,1,lenet5
4,1,64,5,lenet5
5,8,64,5,lenet5
6,1,512,5,lenet5
7,8,512,5,lenet5
8,1,64,1,simplenet
9,8,64,1,simplenet
10,1,512,1,simplenet
11,8,512,1,simplenet
12,1,64,5,simplenet
13,8,64,5,simplenet
14,1,512,5,simplenet
15,8,512,5,simplenet
